username | clickaction | Timestamp
mayank.tanwar@sjsu.edu | buydproduct:49 | 15/9/2016 23:11:38
mayank.tanwar@sjsu.edu | buydproduct:48 | 15/9/2016 23:13:13
undefined | signin:rohan.kankapurkar@sjsu.edu | 15/9/2016 23:16:14
undefined | signin:niranjan.tungatkar@sjsu.edu | 15/9/2016 23:17:36
undefined | signin:rohan.kankapurkar@sjsu.edu | 15/9/2016 23:16:14
undefined | signin:niranjan.tungatkar@sjsu.edu | 15/9/2016 23:17:36
undefined | signin:rohan.kankapurkar@sjsu.edu | 15/9/2016 23:16:14
undefined | signin:niranjan.tungatkar@sjsu.edu | 15/9/2016 23:17:36
niranjan.tungatkar@sjsu.edu | sellproduct:Logitech Bluetooth mouse | 15/9/2016 23:24:38
niranjan.tungatkar@sjsu.edu | sellproduct:Logitech Mouse | 15/9/2016 23:25:29
niranjan.tungatkar@sjsu.edu | sellproduct:Logitech Mouse | 15/9/2016 23:25:29
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:28:28
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:28:28
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:30:30
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:30:30
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:30:30
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:37:15
niranjan.tungatkar@sjsu.edu | buydproduct:51 | 15/9/2016 23:37:17
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:37:30
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:37:45
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:38:50
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:38:51
niranjan.tungatkar@sjsu.edu | buydproduct:51 | 15/9/2016 23:38:53
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:38:58
niranjan.tungatkar@sjsu.edu | CartCheckout:$60 | 15/9/2016 23:39:0
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:39:7
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:39:9
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:39:10
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:39:12
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:39:13
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:39:38
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:39:40
anonymous | signin:niranjan.tungatkar@sjsu.edu | 15/9/2016 23:43:15
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:43:18
niranjan.tungatkar@sjsu.edu | UserInfo:navigate | 15/9/2016 23:43:19
niranjan.tungatkar@sjsu.edu | buydproduct:51 | 15/9/2016 23:43:22
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:43:28
niranjan.tungatkar@sjsu.edu | CartCheckout:$60 | 15/9/2016 23:43:32
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:43:41
anonymous | signin:niranjan.tungatkar@sjsu.edu | 15/9/2016 23:43:15
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:43:18
niranjan.tungatkar@sjsu.edu | UserInfo:navigate | 15/9/2016 23:43:19
niranjan.tungatkar@sjsu.edu | buydproduct:51 | 15/9/2016 23:43:22
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:43:28
anonymous | signin:niranjan.tungatkar@sjsu.edu | 15/9/2016 23:47:5
niranjan.tungatkar@sjsu.edu | buydproduct:51 | 15/9/2016 23:47:8
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:47:15
niranjan.tungatkar@sjsu.edu | CartCheckout:$60 | 15/9/2016 23:47:18
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:47:20
niranjan.tungatkar@sjsu.edu | buydproduct:49 | 15/9/2016 23:47:22
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:47:27
niranjan.tungatkar@sjsu.edu | CartCheckout:$85 | 15/9/2016 23:47:28
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:47:53
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:47:54
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:47:55
niranjan.tungatkar@sjsu.edu | buydproduct:51 | 15/9/2016 23:51:24
niranjan.tungatkar@sjsu.edu | AddToCart:51 | 15/9/2016 23:51:27
niranjan.tungatkar@sjsu.edu | buydproduct:51 | 15/9/2016 23:53:33
niranjan.tungatkar@sjsu.edu | BuyProduct:51 | 15/9/2016 23:53:38
niranjan.tungatkar@sjsu.edu | HomeImg:navigate | 15/9/2016 23:53:57
niranjan.tungatkar@sjsu.edu | buydproduct:53 | 15/9/2016 23:54:1
niranjan.tungatkar@sjsu.edu | AddToCart:53 | 15/9/2016 23:54:5
niranjan.tungatkar@sjsu.edu | RemoveProductFromCart:53 | 15/9/2016 23:54:6
niranjan.tungatkar@sjsu.edu | UserCart:navigate | 15/9/2016 23:56:31
niranjan.tungatkar@sjsu.edu | CartRemoveProduct:51 | 15/9/2016 23:56:37
niranjan.tungatkar@sjsu.edu | RemoveProductCart:$120 | 15/9/2016 23:56:37
niranjan.tungatkar@sjsu.edu | UserInfo:navigate | 15/9/2016 23:59:56
niranjan.tungatkar@sjsu.edu | UserInfo:navigate | 16/9/2016 0:1:15
niranjan.tungatkar@sjsu.edu | UserInfo:navigate | 16/9/2016 0:1:25
niranjan.tungatkar@sjsu.edu | BidCheckout:47 | 16/9/2016 0:1:52
